caso,mencoes_acusadoras,mencoes_emitidas,dias_ativos,n_postagens_caso,n_mencoes_recebidas_caso,papel_inicial,posicao,posicao_recebidas,rotulo,parcela_acusadora
arthur_do_val,232,234,5,77,0,,1,744,L1,0.991
arthur_do_val,152,154,5,29,11,,2,56,L2,0.987
arthur_do_val,147,151,4,69,107,lider_acusacao,3,5,L3,0.974
arthur_do_val,133,139,4,21,25,,4,22,L4,0.957
arthur_do_val,91,91,2,15,31,,5,17,L5,1.0
arthur_do_val,90,90,5,25,47,,6,9,L6,1.0
arthur_do_val,79,92,2,29,3,,7,193,L7,0.859
arthur_do_val,77,97,5,36,3,,8,193,L8,0.794
arthur_do_val,73,88,6,32,10,,9,62,L9,0.83
arthur_do_val,62,84,2,26,12,,10,48,L10,0.738
monark,34,34,1,3,0,,1,150,L1,1.0
monark,33,35,1,3,0,,2,150,L2,0.943
monark,25,27,1,16,0,,3,150,L3,0.926
monark,24,25,1,3,1,,4,54,L4,0.96
monark,24,25,1,8,0,,5,150,L5,0.96
monark,23,23,1,2,0,,6,150,L6,1.0
monark,18,34,2,4,0,,7,150,L7,0.529
monark,16,16,1,16,16,,8,5,L8,1.0
monark,16,16,1,2,0,,9,150,L9,1.0
monark,13,16,2,4,0,,10,150,L10,0.812
