caso,posicao,n_mencoes_recebidas_caso,n_postagens_caso,mencoes_emitidas,stance_modal,papel_inicial,papel_final,dia_virada,lider_regra,lider_narrativa
arthur_do_val,1,687,3,3.0,neutro,aliado_do_alvo,aliado_afastado,4.0,False,False
arthur_do_val,2,657,0,,,aliado_do_alvo,aliado_afastado,4.0,False,False
arthur_do_val,3,422,0,,,outro,,,False,False
arthur_do_val,4,420,0,,,outro,,,False,False
arthur_do_val,5,408,3,2.0,defensor,outro,,,False,False
arthur_do_val,6,298,0,,,aliado_do_alvo,,,False,False
arthur_do_val,7,240,3,,,instituicao_legitimadora,,,False,False
arthur_do_val,8,224,0,,,veiculo,,,False,False
arthur_do_val,9,214,2,2.0,defensor,instituicao_legitimadora,,,False,False
arthur_do_val,10,202,0,,,instituicao_legitimadora,,,False,False
monark,1,209,0,,,instituicao_legitimadora,,,False,False
monark,2,121,0,,,instituicao_legitimadora,,,False,False
monark,3,120,0,,,instituicao_legitimadora,,,False,False
monark,4,118,0,,,vitima_secundaria,,,False,False
monark,5,113,0,,,instituicao_legitimadora,,,False,False
monark,6,111,0,,,vitima_secundaria,,,False,False
monark,7,107,0,,,instituicao_legitimadora,,,False,False
monark,8,104,0,,,instituicao_legitimadora,,,False,False
monark,9,93,0,,,instituicao_legitimadora,,,False,False
monark,10,76,0,,,,,,False,False
