caso,data,dias_desde_estopim,fase,n_nos,isolamento_alvo,mencoes,parcela_alvo,parcela_lideres,parcela_maior_aresta_lider,nd
arthur_do_val,2022-02-25,-7,pre_crise,818,0.5122507122507123,1755,0.5122507122507123,0.0,0.0,False
arthur_do_val,2022-02-26,-6,pre_crise,408,0.47106325706594887,743,0.47106325706594887,0.0,0.0,False
arthur_do_val,2022-02-27,-5,pre_crise,341,0.5799180327868853,488,0.5799180327868853,0.0020491803278688526,0.0020491803278688526,False
arthur_do_val,2022-02-28,-4,pre_crise,1113,0.39655172413793105,2552,0.39655172413793105,0.005094043887147335,0.001567398119122257,False
arthur_do_val,2022-03-01,-3,pre_crise,803,0.6385362210604929,1339,0.6385362210604929,0.0,0.0,False
arthur_do_val,2022-03-02,-2,pre_crise,669,0.41394753678822777,1563,0.41394753678822777,0.022392834293026232,0.005118362124120281,False
arthur_do_val,2022-03-03,-1,pre_crise,792,0.3800511508951407,1955,0.3800511508951407,0.015345268542199489,0.0076726342710997444,False
arthur_do_val,2022-03-04,0,estopim,447,0.4148606811145511,646,0.4148606811145511,0.0,0.0,False
arthur_do_val,2022-03-05,1,pico,819,0.3595706618962433,1118,0.3595706618962433,0.0,0.0,False
arthur_do_val,2022-03-06,2,declinio,812,0.5272030651340996,1305,0.5272030651340996,0.0,0.0,False
arthur_do_val,2022-03-07,3,declinio,651,0.5333333333333333,915,0.5333333333333333,0.0,0.0,False
arthur_do_val,2022-03-08,4,declinio,759,0.31658692185007975,1254,0.31658692185007975,0.017543859649122806,0.011164274322169059,False
arthur_do_val,2022-03-09,5,declinio,837,0.41517128874388254,1226,0.41517128874388254,0.0032626427406199023,0.0016313213703099511,False
arthur_do_val,2022-03-10,6,declinio,678,0.339737108190091,989,0.339737108190091,0.007077856420626896,0.003033367037411527,False
arthur_do_val,2022-03-11,7,declinio,761,0.2715654952076677,1252,0.2715654952076677,0.0439297124600639,0.036741214057507986,False
arthur_do_val,2022-03-12,8,declinio,751,0.23153803442531926,1801,0.23153803442531926,0.014436424208772903,0.012215435868961688,False
arthur_do_val,2022-03-13,9,declinio,779,0.24330900243309003,1233,0.24330900243309003,0.013787510137875101,0.008921330089213302,False
arthur_do_val,2022-03-14,10,declinio,386,0.24146341463414633,820,0.24146341463414633,0.0475609756097561,0.03048780487804878,False
monark,2022-02-07,-1,pre_crise,2,1.0,1,1.0,0.0,0.0,True
monark,2022-02-08,0,estopim,717,0.14143426294820718,1004,0.14143426294820718,0.01693227091633466,0.01593625498007968,False
monark,2022-02-09,1,pico,1111,0.12666666666666668,1500,0.12666666666666668,0.0,0.0,False
monark,2022-02-10,2,declinio,517,0.19285714285714287,980,0.19285714285714287,0.0,0.0,False
monark,2022-02-11,3,declinio,658,0.37982565379825656,803,0.37982565379825656,0.0,0.0,False
monark,2022-02-12,4,declinio,479,0.2534722222222222,576,0.2534722222222222,0.0,0.0,False
monark,2022-02-13,5,pos_rito,279,0.20689655172413793,290,0.20689655172413793,0.0,0.0,False
monark,2022-02-14,6,declinio,574,0.42296918767507,714,0.42296918767507,0.0,0.0,False
