caso,papel,contas,mencoes,parcela_mencoes_caso,razao_vs_alvo,dia_pico_papel,defasagem_vs_pico_calendario,dia_pico_mencoes_alvo
arthur_do_val,aliado_do_alvo,5,1943,0.085,0.21,-4,-5,-4
arthur_do_val,outro,6,1483,0.065,0.16,-4,-5,-4
arthur_do_val,instituicao_legitimadora,5,945,0.041,0.1,8,7,-4
arthur_do_val,veiculo,3,360,0.016,0.04,4,3,-4
arthur_do_val,lider_acusacao,2,192,0.008,0.02,7,6,-4
monark,instituicao_legitimadora,11,1022,0.174,0.77,1,0,3
monark,vitima_secundaria,2,229,0.039,0.17,2,1,3
monark,veiculo,4,150,0.026,0.11,4,3,3
monark,aliado_do_alvo,1,33,0.006,0.02,1,0,3
monark,lider_acusacao,1,26,0.004,0.02,1,0,3
