caso,papel,dia_pico,mencoes,parcela_dia,de_acusadores,defasagem_vs_alvo,acusacao_no_dia,acusacao_dia_seguinte,parcela_alvo_dia_seguinte
arthur_do_val,alvo,-4,1012,0.397,0.705,0,0.608,0.629,0.639
arthur_do_val,outro,-4,548,0.215,0.706,0,0.608,0.629,0.639
arthur_do_val,aliado_do_alvo,-4,290,0.114,0.641,0,0.608,0.629,0.639
arthur_do_val,demais,-1,736,0.376,0.655,3,0.599,0.631,0.415
arthur_do_val,aliado_afastado,4,146,0.116,0.733,8,0.595,0.59,0.415
arthur_do_val,veiculo,4,49,0.039,0.837,8,0.595,0.59,0.415
arthur_do_val,lider_acusacao,7,56,0.045,0.893,11,0.55,0.595,0.232
arthur_do_val,instituicao_legitimadora,8,670,0.372,0.754,12,0.595,0.622,0.243
monark,aliado_do_alvo,0,9,0.009,0.667,-3,0.525,0.347,0.127
monark,demais,1,743,0.495,0.355,-2,0.347,0.378,0.193
monark,instituicao_legitimadora,1,437,0.291,0.465,-2,0.347,0.378,0.193
monark,acusador,1,11,0.007,0.0,-2,0.347,0.378,0.193
monark,lider_acusacao,1,10,0.007,0.9,-2,0.347,0.378,0.193
monark,vitima_secundaria,2,105,0.107,0.152,-1,0.378,0.374,0.38
monark,alvo,3,305,0.38,0.384,0,0.374,0.356,0.253
monark,veiculo,4,34,0.059,0.324,1,0.356,0.373,0.207
