caso,rotulo,fase,mencoes_emitidas,dias_ativos,mencoes_por_dia,destinos_distintos,parcela_ao_alvo,parcela_acusadora,mencoes_recebidas
arthur_do_val,L1,declinio,216.0,4.0,54.0,6.0,0.329,0.991,0.0
arthur_do_val,L1,pico,18.0,1.0,18.0,3.0,0.333,1.0,0.0
arthur_do_val,L10,declinio,0.0,,,,,,1.0
arthur_do_val,L10,pre_crise,84.0,2.0,42.0,11.0,0.31,0.738,11.0
arthur_do_val,L2,declinio,3.0,1.0,3.0,3.0,0.333,1.0,0.0
arthur_do_val,L2,pre_crise,151.0,4.0,37.8,10.0,0.185,0.987,11.0
arthur_do_val,L3,declinio,151.0,4.0,37.8,11.0,0.457,0.974,107.0
arthur_do_val,L4,declinio,139.0,4.0,34.8,7.0,0.151,0.957,25.0
arthur_do_val,L5,declinio,91.0,2.0,45.5,7.0,0.165,1.0,31.0
arthur_do_val,L6,declinio,16.0,2.0,8.0,8.0,0.313,1.0,2.0
arthur_do_val,L6,pre_crise,74.0,3.0,24.7,12.0,0.216,1.0,45.0
arthur_do_val,L7,declinio,5.0,1.0,5.0,5.0,0.2,0.0,0.0
arthur_do_val,L7,pre_crise,87.0,1.0,87.0,14.0,0.322,0.908,3.0
arthur_do_val,L8,pre_crise,97.0,5.0,19.4,37.0,0.371,0.794,3.0
arthur_do_val,L9,declinio,56.0,4.0,14.0,20.0,0.143,0.732,4.0
arthur_do_val,L9,pre_crise,32.0,2.0,16.0,6.0,0.281,1.0,6.0
monark,L1,pico,34.0,1.0,34.0,12.0,0.088,1.0,0.0
monark,L10,declinio,10.0,1.0,10.0,5.0,0.2,1.0,0.0
monark,L10,estopim,6.0,1.0,6.0,6.0,0.0,0.5,0.0
monark,L2,estopim,35.0,1.0,35.0,13.0,0.086,0.943,0.0
monark,L3,declinio,27.0,1.0,27.0,11.0,0.593,0.926,0.0
monark,L4,estopim,25.0,1.0,25.0,9.0,0.12,0.96,1.0
monark,L5,declinio,25.0,1.0,25.0,9.0,0.32,0.96,0.0
monark,L6,pico,23.0,1.0,23.0,12.0,0.087,1.0,0.0
monark,L7,estopim,9.0,1.0,9.0,9.0,0.0,0.0,0.0
monark,L7,pico,25.0,1.0,25.0,16.0,0.0,0.72,0.0
monark,L8,estopim,16.0,1.0,16.0,1.0,0.0,1.0,16.0
monark,L9,estopim,16.0,1.0,16.0,8.0,0.125,1.0,0.0
