assinatura,caso,pre_crise,pico,declinio_media,variacao_pp
parcela do alvo nas menções (P5/P9),arthur_do_val,0.485,0.36,0.347,-1.3
parcela das instituições nas menções (P4b),arthur_do_val,0.002,0.011,0.062,5.2
replies ao alvo / postagens (P9),arthur_do_val,0.447,0.113,0.134,2.1
parcela defensora das postagens (P7),arthur_do_val,0.13,0.179,0.17,-0.8
parcela dos likes da defesa (P7),arthur_do_val,0.19,0.852,0.115,-73.7
menções dos líderes dirigidas ao alvo (P10; dias com ≥ 10),arthur_do_val,0.3,0.333,0.283,-5.0
parcela do alvo nas menções (P5/P9),monark,,0.127,0.312,18.6
parcela das instituições nas menções (P4b),monark,,0.291,0.066,-22.6
replies ao alvo / postagens (P9),monark,,0.034,0.181,14.6
parcela defensora das postagens (P7),monark,,0.432,0.448,1.6
parcela dos likes da defesa (P7),monark,,0.335,0.495,15.9
menções dos líderes dirigidas ao alvo (P10; dias com ≥ 10),monark,,0.061,0.439,37.8
