caso,fase,papel,mencoes,contas,de_acusadores,de_defensores,de_neutros,mencoes_base,parcela
arthur_do_val,pre_crise,alvo,4789,1,0.697,0.105,0.198,10395,0.461
arthur_do_val,pre_crise,demais,3403,317,0.654,0.116,0.231,10395,0.327
arthur_do_val,pre_crise,outro,1349,5,0.678,0.11,0.212,10395,0.13
arthur_do_val,pre_crise,aliado_do_alvo,760,5,0.689,0.125,0.186,10395,0.073
arthur_do_val,pre_crise,lider_acusacao,46,1,0.5,0.261,0.239,10395,0.004
arthur_do_val,pre_crise,instituicao_legitimadora,24,3,0.875,0.042,0.083,10395,0.002
arthur_do_val,pre_crise,veiculo,24,2,0.708,0.042,0.25,10395,0.002
arthur_do_val,estopim,alvo,268,1,0.698,0.175,0.127,646,0.415
arthur_do_val,estopim,demais,228,141,0.588,0.171,0.241,646,0.353
arthur_do_val,estopim,aliado_do_alvo,99,4,0.717,0.152,0.131,646,0.153
arthur_do_val,estopim,outro,32,3,0.656,0.219,0.125,646,0.05
arthur_do_val,estopim,instituicao_legitimadora,13,2,0.692,0.231,0.077,646,0.02
arthur_do_val,estopim,veiculo,4,3,0.75,0.25,0.0,646,0.006
arthur_do_val,estopim,lider_acusacao,2,1,1.0,0.0,0.0,646,0.003
arthur_do_val,pico,demais,532,317,0.694,0.171,0.135,1118,0.476
arthur_do_val,pico,alvo,402,1,0.726,0.132,0.142,1118,0.36
arthur_do_val,pico,aliado_do_alvo,116,5,0.664,0.121,0.216,1118,0.104
arthur_do_val,pico,veiculo,29,3,0.621,0.172,0.207,1118,0.026
arthur_do_val,pico,outro,21,3,0.714,0.238,0.048,1118,0.019
arthur_do_val,pico,instituicao_legitimadora,12,3,0.75,0.083,0.167,1118,0.011
arthur_do_val,pico,lider_acusacao,6,1,0.5,0.167,0.333,1118,0.005
arthur_do_val,declinio,demais,4736,331,0.639,0.163,0.198,10795,0.439
arthur_do_val,declinio,alvo,3673,1,0.678,0.158,0.164,10795,0.34
arthur_do_val,declinio,instituicao_legitimadora,896,5,0.751,0.132,0.117,10795,0.083
arthur_do_val,declinio,aliado_afastado,671,4,0.694,0.162,0.143,10795,0.062
arthur_do_val,declinio,veiculo,303,3,0.66,0.079,0.261,10795,0.028
arthur_do_val,declinio,aliado_do_alvo,297,5,0.667,0.175,0.158,10795,0.028
arthur_do_val,declinio,lider_acusacao,138,2,0.71,0.21,0.08,10795,0.013
arthur_do_val,declinio,outro,81,4,0.593,0.148,0.259,10795,0.008
arthur_do_val,todas,alvo,9132,1,0.691,0.13,0.179,22954,0.398
