caso,papel,acusadores_do_papel,tambem_acusam_alvo,acusadores_do_alvo,parcela_que_tambem_acusa_alvo,jaccard_com_alvo
arthur_do_val,demais,2410,1574,3928,0.653,0.33
arthur_do_val,outro,695,677,3928,0.974,0.172
arthur_do_val,aliado_do_alvo,522,432,3928,0.828,0.108
arthur_do_val,aliado_afastado,277,222,3928,0.801,0.056
arthur_do_val,instituicao_legitimadora,212,191,3928,0.901,0.048
arthur_do_val,veiculo,183,53,3928,0.29,0.013
arthur_do_val,lider_acusacao,45,34,3928,0.756,0.009
monark,demais,619,224,454,0.362,0.264
monark,instituicao_legitimadora,124,52,454,0.419,0.099
monark,vitima_secundaria,65,35,454,0.538,0.072
monark,veiculo,49,25,454,0.51,0.052
monark,lider_acusacao,14,9,454,0.643,0.02
monark,aliado_do_alvo,6,4,454,0.667,0.009
monark,acusador,6,2,454,0.333,0.004
