caso,fase,destino,mencoes_destino,parcela_acusador,parcela_defensor,parcela_neutro
arthur_do_val,pre_crise,alvo,4789,0.697,0.105,0.198
arthur_do_val,pre_crise,demais,5606,0.664,0.116,0.22
arthur_do_val,estopim,alvo,268,0.698,0.175,0.127
arthur_do_val,estopim,demais,378,0.635,0.172,0.193
arthur_do_val,pico,alvo,402,0.726,0.132,0.142
arthur_do_val,pico,demais,716,0.686,0.163,0.151
arthur_do_val,declinio,alvo,3673,0.678,0.158,0.164
arthur_do_val,declinio,demais,7122,0.661,0.157,0.182
monark,pre_crise,alvo,1,1.0,0.0,0.0
monark,estopim,alvo,142,0.535,0.303,0.162
monark,estopim,demais,862,0.513,0.318,0.169
monark,pico,alvo,190,0.442,0.447,0.111
monark,pico,demais,1310,0.401,0.463,0.136
monark,declinio,alvo,942,0.394,0.482,0.124
monark,declinio,demais,2131,0.327,0.412,0.261
monark,pos_rito,alvo,60,0.433,0.5,0.067
monark,pos_rito,demais,230,0.343,0.548,0.109
