caso,data,dias_desde_estopim,fase,replies_alvo,postagens_dia,parcela_replies_alvo,isolamento_alvo,n_nos,nd
arthur_do_val,2022-02-25,-7,pre_crise,578,920,0.6282608695652174,0.5122507122507123,818,False
arthur_do_val,2022-02-26,-6,pre_crise,191,373,0.5120643431635389,0.47106325706594887,408,False
arthur_do_val,2022-02-27,-5,pre_crise,176,300,0.5866666666666667,0.5799180327868853,341,False
arthur_do_val,2022-02-28,-4,pre_crise,375,1359,0.27593818984547464,0.39655172413793105,1113,False
arthur_do_val,2022-03-01,-3,pre_crise,551,874,0.6304347826086957,0.6385362210604929,803,False
arthur_do_val,2022-03-02,-2,pre_crise,235,703,0.33428165007112376,0.41394753678822777,669,False
arthur_do_val,2022-03-03,-1,pre_crise,140,861,0.16260162601626016,0.3800511508951407,792,False
arthur_do_val,2022-03-04,0,estopim,68,507,0.1341222879684418,0.4148606811145511,447,False
arthur_do_val,2022-03-05,1,pico,101,896,0.11272321428571429,0.3595706618962433,819,False
arthur_do_val,2022-03-06,2,declinio,350,859,0.4074505238649593,0.5272030651340996,812,False
arthur_do_val,2022-03-07,3,declinio,75,776,0.09664948453608248,0.5333333333333333,651,False
arthur_do_val,2022-03-08,4,declinio,67,878,0.07630979498861047,0.31658692185007975,759,False
arthur_do_val,2022-03-09,5,declinio,196,849,0.2308598351001178,0.41517128874388254,837,False
arthur_do_val,2022-03-10,6,declinio,100,794,0.12594458438287154,0.339737108190091,678,False
arthur_do_val,2022-03-11,7,declinio,67,845,0.07928994082840236,0.2715654952076677,761,False
arthur_do_val,2022-03-12,8,declinio,45,810,0.05555555555555555,0.23153803442531926,751,False
arthur_do_val,2022-03-13,9,declinio,71,836,0.08492822966507177,0.24330900243309003,779,False
arthur_do_val,2022-03-14,10,declinio,23,453,0.05077262693156733,0.24146341463414633,386,False
monark,2022-02-07,-1,pre_crise,1,2,0.5,1.0,2,True
monark,2022-02-08,0,estopim,30,1114,0.026929982046678635,0.14143426294820718,717,False
monark,2022-02-09,1,pico,46,1339,0.03435399551904406,0.12666666666666668,1111,False
monark,2022-02-10,2,declinio,60,588,0.10204081632653061,0.19285714285714287,517,False
monark,2022-02-11,3,declinio,156,620,0.25161290322580643,0.37982565379825656,658,False
monark,2022-02-12,4,declinio,39,424,0.09198113207547169,0.2534722222222222,479,False
monark,2022-02-13,5,pos_rito,20,177,0.11299435028248588,0.20689655172413793,279,False
monark,2022-02-14,6,declinio,149,539,0.2764378478664193,0.42296918767507,574,False
